1900-05-01,1318-01-01
1900-05-31,1318-02-01
1900-06-29,1318-03-01
1900-07-29,1318-04-01
1900-08-27,1318-05-01
1900-09-26,1318-06-01
1900-10-25,1318-07-01
1900-11-24,1318-08-01
1900-12-23,1318-09-01
1901-01-22,1318-10-01
1901-02-20,1318-11-01
1901-03-22,1318-12-01
1901-04-20,1319-01-01
1901-05-20,1319-02-01
1901-06-18,1319-03-01
1901-07-18,1319-04-01
1901-08-16,1319-05-01
1901-09-15,1319-06-01
1901-10-14,1319-07-01
1901-11-13,1319-08-01
1901-12-12,1319-09-01
1902-01-11,1319-10-01
1902-02-09,1319-11-01
1902-03-11,1319-12-01
1902-04-10,1320-01-01
1902-05-10,1320-02-01
1902-06-08,1320-03-01
1902-07-08,1320-04-01
1902-08-06,1320-05-01
1902-09-05,1320-06-01
1902-10-04,1320-07-01
1902-11-03,1320-08-01
1902-12-02,1320-09-01
1903-01-01,1320-10-01
1903-01-30,1320-11-01
1903-03-01,1320-12-01
1903-03-30,1321-01-01
1903-04-29,1321-02-01
1903-05-28,1321-03-01
1903-06-27,1321-04-01
1903-07-26,1321-05-01
1903-08-25,1321-06-01
1903-09-23,1321-07-01
1903-10-23,1321-08-01
1903-11-21,1321-09-01
1903-12-21,1321-10-01
1904-01-19,1321-11-01
1904-02-18,1321-12-01
1904-03-18,1322-01-01
1904-04-17,1322-02-01
1904-05-16,1322-03-01
1904-06-15,1322-04-01
1904-07-14,1322-05-01
1904-08-13,1322-06-01
1904-09-11,1322-07-01
1904-10-11,1322-08-01
1904-11-09,1322-09-01
1904-12-09,1322-10-01
1905-01-07,1322-11-01
1905-02-06,1322-12-01
1905-03-08,1323-01-01
1905-04-07,1323-02-01
1905-05-06,1323-03-01
1905-06-05,1323-04-01
1905-07-04,1323-05-01
1905-08-03,1323-06-01
1905-09-01,1323-07-01
1905-10-01,1323-08-01
1905-10-30,1323-09-01
1905-11-29,1323-10-01
1905-12-28,1323-11-01
1906-01-27,1323-12-01
1906-02-25,1324-01-01
1906-03-27,1324-02-01
1906-04-25,1324-03-01
1906-05-25,1324-04-01
1906-06-23,1324-05-01
1906-07-23,1324-06-01
1906-08-21,1324-07-01
1906-09-20,1324-08-01
1906-10-19,1324-09-01
1906-11-18,1324-10-01
1906-12-17,1324-11-01
1907-01-16,1324-12-01
1907-02-14,1325-01-01
1907-03-16,1325-02-01
1907-04-14,1325-03-01
1907-05-14,1325-04-01
1907-06-12,1325-05-01
1907-07-12,1325-06-01
1907-08-10,1325-07-01
1907-09-09,1325-08-01
1907-10-08,1325-09-01
1907-11-07,1325-10-01
1907-12-06,1325-11-01
1908-01-05,1325-12-01
1908-02-04,1326-01-01
1908-03-05,1326-02-01
1908-04-03,1326-03-01
1908-05-03,1326-04-01
1908-06-01,1326-05-01
1908-07-01,1326-06-01
1908-07-30,1326-07-01
1908-08-29,1326-08-01
1908-09-27,1326-09-01
1908-10-27,1326-10-01
1908-11-25,1326-11-01
1908-12-25,1326-12-01
1909-01-23,1327-01-01
1909-02-22,1327-02-01
1909-03-23,1327-03-01
1909-04-22,1327-04-01
1909-05-21,1327-05-01
1909-06-20,1327-06-01
1909-07-19,1327-07-01
1909-08-18,1327-08-01
1909-09-16,1327-09-01
1909-10-16,1327-10-01
1909-11-14,1327-11-01
1909-12-14,1327-12-01
1910-01-13,1328-01-01
1910-02-12,1328-02-01
1910-03-13,1328-03-01
1910-04-12,1328-04-01
1910-05-11,1328-05-01
1910-06-10,1328-06-01
1910-07-09,1328-07-01
1910-08-08,1328-08-01
1910-09-06,1328-09-01
1910-10-06,1328-10-01
1910-11-04,1328-11-01
1910-12-04,1328-12-01
1911-01-02,1329-01-01
1911-02-01,1329-02-01
1911-03-02,1329-03-01
1911-04-01,1329-04-01
1911-04-30,1329-05-01
1911-05-30,1329-06-01
1911-06-28,1329-07-01
1911-07-28,1329-08-01
1911-08-26,1329-09-01
1911-09-25,1329-10-01
1911-10-24,1329-11-01
1911-11-23,1329-12-01
1911-12-22,1330-01-01
1912-01-21,1330-02-01
1912-02-19,1330-03-01
1912-03-20,1330-04-01
1912-04-18,1330-05-01
1912-05-18,1330-06-01
1912-06-16,1330-07-01
1912-07-16,1330-08-01
1912-08-14,1330-09-01
1912-09-13,1330-10-01
1912-10-12,1330-11-01
1912-11-11,1330-12-01
1912-12-11,1331-01-01
1913-01-10,1331-02-01
1913-02-08,1331-03-01
1913-03-10,1331-04-01
1913-04-08,1331-05-01
1913-05-08,1331-06-01
1913-06-06,1331-07-01
1913-07-06,1331-08-01
1913-08-04,1331-09-01
1913-09-03,1331-10-01
1913-10-02,1331-11-01
1913-11-01,1331-12-01
1913-11-30,1332-01-01
1913-12-30,1332-02-01
1914-01-28,1332-03-01
1914-02-27,1332-04-01
1914-03-28,1332-05-01
1914-04-27,1332-06-01
1914-05-26,1332-07-01
1914-06-25,1332-08-01
1914-07-24,1332-09-01
1914-08-23,1332-10-01
1914-09-21,1332-11-01
1914-10-21,1332-12-01
1914-11-19,1333-01-01
1914-12-19,1333-02-01
1915-01-17,1333-03-01
1915-02-16,1333-04-01
1915-03-17,1333-05-01
1915-04-16,1333-06-01
1915-05-15,1333-07-01
1915-06-14,1333-08-01
1915-07-13,1333-09-01
1915-08-12,1333-10-01
1915-09-10,1333-11-01
1915-10-10,1333-12-01
1915-11-09,1334-01-01
1915-12-09,1334-02-01
1916-01-07,1334-03-01
1916-02-06,1334-04-01
1916-03-06,1334-05-01
1916-04-05,1334-06-01
1916-05-04,1334-07-01
1916-06-03,1334-08-01
1916-07-02,1334-09-01
1916-08-01,1334-10-01
1916-08-30,1334-11-01
1916-09-29,1334-12-01
1916-10-28,1335-01-01
1916-11-27,1335-02-01
1916-12-26,1335-03-01
1917-01-25,1335-04-01
1917-02-23,1335-05-01
1917-03-25,1335-06-01
1917-04-23,1335-07-01
1917-05-23,1335-08-01
1917-06-21,1335-09-01
1917-07-21,1335-10-01
1917-08-19,1335-11-01
1917-09-18,1335-12-01
1917-10-17,1336-01-01
1917-11-16,1336-02-01
1917-12-15,1336-03-01
1918-01-14,1336-04-01
1918-02-12,1336-05-01
1918-03-14,1336-06-01
1918-04-12,1336-07-01
1918-05-12,1336-08-01
1918-06-10,1336-09-01
1918-07-10,1336-10-01
1918-08-08,1336-11-01
1918-09-07,1336-12-01
1918-10-07,1337-01-01
1918-11-06,1337-02-01
1918-12-05,1337-03-01
1919-01-04,1337-04-01
1919-02-02,1337-05-01
1919-03-04,1337-06-01
1919-04-02,1337-07-01
1919-05-02,1337-08-01
1919-05-31,1337-09-01
1919-06-30,1337-10-01
1919-07-29,1337-11-01
1919-08-28,1337-12-01
1919-09-26,1338-01-01
1919-10-26,1338-02-01
1919-11-24,1338-03-01
1919-12-24,1338-04-01
1920-01-22,1338-05-01
1920-02-21,1338-06-01
1920-03-21,1338-07-01
1920-04-20,1338-08-01
1920-05-19,1338-09-01
1920-06-18,1338-10-01
1920-07-17,1338-11-01
1920-08-16,1338-12-01
1920-09-15,1339-01-01
1920-10-15,1339-02-01
1920-11-13,1339-03-01
1920-12-13,1339-04-01
1921-01-11,1339-05-01
1921-02-10,1339-06-01
1921-03-11,1339-07-01
1921-04-10,1339-08-01
1921-05-09,1339-09-01
1921-06-08,1339-10-01
1921-07-07,1339-11-01
1921-08-06,1339-12-01
1921-09-04,1340-01-01
1921-10-04,1340-02-01
1921-11-02,1340-03-01
1921-12-02,1340-04-01
1921-12-31,1340-05-01
1922-01-30,1340-06-01
1922-02-28,1340-07-01
1922-03-30,1340-08-01
1922-04-28,1340-09-01
1922-05-28,1340-10-01
1922-06-26,1340-11-01
1922-07-26,1340-12-01
1922-08-24,1341-01-01
1922-09-23,1341-02-01
1922-10-22,1341-03-01
1922-11-21,1341-04-01
1922-12-20,1341-05-01
1923-01-19,1341-06-01
1923-02-17,1341-07-01
1923-03-19,1341-08-01
1923-04-17,1341-09-01
1923-05-17,1341-10-01
1923-06-15,1341-11-01
1923-07-15,1341-12-01
1923-08-14,1342-01-01
1923-09-13,1342-02-01
1923-10-12,1342-03-01
1923-11-11,1342-04-01
1923-12-10,1342-05-01
1924-01-09,1342-06-01
1924-02-07,1342-07-01
1924-03-08,1342-08-01
1924-04-06,1342-09-01
1924-05-06,1342-10-01
1924-06-04,1342-11-01
1924-07-04,1342-12-01
1924-08-02,1343-01-01
1924-09-01,1343-02-01
1924-09-30,1343-03-01
1924-10-30,1343-04-01
1924-11-28,1343-05-01
1924-12-28,1343-06-01
1925-01-26,1343-07-01
1925-02-25,1343-08-01
1925-03-26,1343-09-01
1925-04-25,1343-10-01
1925-05-24,1343-11-01
1925-06-23,1343-12-01
